name;id;factions;category;class;models;counter;miniature;idleEffect;moveEffect;rotationEffect;weaponEffect;deathEffect;antiSubEffect;antiAirEffect;chassis;available;expire;series;cost;supply;production;mp;ap;steps;fuel;strength;range;LOS;radar;shock;assault;bombardment;blast;cargo;carrier;transport;switch;spawn;torpedo;attack type;defense type;inf att;veh att;air sml att; air lrg att; nav sml att; nav lrg att; sub att;inf def;veh def;bomb def;air def;nav def;torp def;land def;traits;specialisation;construction
//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Att;Def;Damage;;Avr Dam;Factor:;;;;;;;;;;;
//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;8;48;;30;3;;;;;;;;;;;
//;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
// JAPAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
japanese_infantry_37;530;japan, ijn, ;land;infantry;Jap_Rifle_37 -0.01 -0.1, Jap_Grenade_37 -0.2 0.12, Jap_Rifle_37 0.2 0.1, ;US_Infantry;;infantryidle,0;infantrymove;;infantryattack,0;;;;foot;21/2/1937;19/2/1939;infantry;20;3;;6;1;1;;100;;4;;;;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;banzai:banzai_infantry, ;;;infantry;infantry;9;3-6;;;;;;9;9;13;14;13;;;tunneling,concealable,lightTreaded,;;mg_nest -1 3 0 Defensive_Doctrine
japanese_infantry_39;531;japan, ijn, ;land;infantry;Jap_Rifle_41 -0.01 -0.1, Jap_Grenade_41 -0.2 0.12, Jap_Rifle_41 0.2 0.1, ;US_Infantry;;infantryidle,0;infantrymove;;infantryattack,0;;;;foot;19/2/1939;7/1/1940;infantry;25;3;;6;1;1;;100;;4;;;;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;banzai:banzai_infantry, ;;;infantry;infantry;10;3-6;;;;;;10;9;13;14;13;;;tunneling,concealable,lightTreaded,;;mg_nest -1 3 0 Defensive_Doctrine
japanese_infantry_40;2148;japan, ijn, ;land;infantry;Jap_Rifle_41 -0.01 -0.1, Jap_Grenade_41 -0.2 0.12, Jap_Rifle_41 0.2 0.1, ;US_Infantry;;infantryidle;infantrymove;;infantryattack;;;;foot;7/1/1940;12/1/1941 ;infantry;30;3;;6;1;1;;100;;4;;;;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;banzai:banzai_infantry, ;;;infantry;infantry;11;4-8;;;;;;11;9;13;14;13;;;tunneling,concealable,lightTreaded,;;mg_nest -1 3 0 Defensive_Doctrine
japanese_infantry_41;3;japan, ijn, ;land;infantry;Jap_Rifle_41 -0.01 -0.1, Jap_Grenade_41 -0.2 0.12, Jap_Rifle_41 0.2 0.1, ;US_Infantry;;infantryidle;infantrymove;;infantryattack;;;;foot;12/1/1941 ;16/1/1942;infantry;35;3;;6;1;1;;100;;4;;;;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;banzai:banzai_infantry, ;;;infantry;infantry;12;5-9;;;;;;12;9;13;14;13;;;tunneling,concealable,lightTreaded,;;mg_nest -1 3 0 Defensive_Doctrine
