unit_523  = TBD デヴァステイター(爆装)
unit_524  = TBF-1 アヴェンジャー(爆装)
unit_525  = TBM-3E アヴェンジャー(爆装)
unit_526  = TBM-3E アヴェンジャー(雷装)
unit_527  = TBM-3E アヴェンジャー(爆装)
unit_156  = TBF-1 アヴェンジャー(雷装)
unit_305  = TBM-3E アヴェンジャー(雷装)
unit_528  = B6N 中島 天山 (爆装)
unit_529  = B6N2 中島 天山(爆装)
unit_1000 = Zündapp Motorcycle

tooltip_lay_mines_disabled_6  = 他のユニットの上に機雷を敷設できません。

disable_loading_videos  = AIの回転するアニメーションを無効にする
disable_mouse_scroll  = マウスによるスクローリングを無効にする

tooltip_kamikaze_disabled_1  = 航空機を神風特別攻撃隊にするには飛行場か航空母艦に着陸していなければなりません。
tooltip_revert_disabled_1  = 神風特別攻撃隊の航空機は離陸すると通常の状態には戻れません。

skirmish  = 散兵

editor_hex_name  = 名前:
hex_name  = 場所の名前

tooltip_sleep  = ユニットが起こされるか使用されるまではスリープ状態にして、次へ/前への選択サイクルから除外します。
tooltip_upgrade_series  = ユニットを違うタイプにアップグレードします(割引アップグレードが使えます!)

hotkey_17  = 目標パネル

map_location_names  = マップ上に場所の名前を表示します

low_spec_mode  = 低スペックモード
low_spec_mode_title  = 低スペックモード
low_spec_mode_text  = 低スペックモードを有効にするには、シナリオを再ロードする必要があります。今そうしますか?
